unique_id,timepoint,domain,age,gender,block_order,met_performance_criteria_typical,met_performance_criteria_stricter,D_overall,D_tt1,D_tt2,D_tt3,D_tt4,PI_overall,PI_tt1,PI_tt2,PI_tt3,PI_tt4
PTSD_165,1,Stigma - PTSD,18,Female,consistent first,TRUE,FALSE,0.006244634610337111,0.4573324763445808,-0.11858351357854685,-0.5020625231331056,0.21930679299025435,0.4752061631944445,0.5850694444444445,0.5295138888888888,0.2838541666666667,0.5060763888888888
PTSD_169,1,Stigma - PTSD,18,Female,consistent first,TRUE,TRUE,0.1573993854253818,0.8097933081274853,0.17702422899655648,-0.42697928273644725,0.016203984424150015,0.5247938368055555,0.7569444444444445,0.4895833333333333,0.3567708333333333,0.5130208333333334
PTSD_170,1,Stigma - PTSD,18,Male,consistent first,TRUE,TRUE,-0.05601806608075194,0.6377750302908144,-0.013356493590129062,-0.31631164476225904,-0.0472014658871332,0.5060763888888888,0.6805555555555555,0.4366319444444445,0.38454861111111116,0.5494791666666666
PTSD_174,1,Stigma - PTSD,18,Female,consistent first,TRUE,FALSE,0.20561887368997636,0.722720211288658,0.17734229296368595,-0.6292233005985404,0.2869364610080674,0.5509440104166666,0.7378472222222222,0.5876736111111112,0.31857638888888884,0.5625
PTSD_176,1,Stigma - PTSD,20,Male,consistent first,TRUE,FALSE,0.028115147318461847,0.19994741635318805,0.06447413825166952,-0.25758042838745515,0.13657984256787967,0.5061306423611112,0.5685763888888888,0.5425347222222222,0.390625,0.5243055555555555
PTSD_181,1,Stigma - PTSD,21,Female,consistent first,TRUE,TRUE,-0.049171845013752186,1.122248767411555,0.41301159608857974,-1.0922768690727749,-0.7476206118826461,0.4676649305555555,0.868923611111111,0.6371527777777778,0.14409722222222224,0.26736111111111116
PTSD_183,1,Stigma - PTSD,19,Male,consistent first,TRUE,FALSE,0.34156366049906156,0.548921898778678,-0.0417096832168689,0.11485105580297866,0.7923703584828066,0.61083984375,0.6119791666666666,0.5746527777777778,0.5355902777777778,0.7204861111111112
PTSD_205,1,Stigma - PTSD,18,Female,consistent first,TRUE,TRUE,0.2590332285739426,0.6139932811995485,0.4096244449347679,-0.2635500119999682,-0.17496443858485727,0.5528428819444445,0.8125,0.6449652777777778,0.3836805555555555,0.36371527777777785
PTSD_206,1,Stigma - PTSD,38,Female,consistent first,TRUE,TRUE,-0.31090907065043344,-0.3570759018842238,-0.31063364245696634,-0.44081389987787556,-0.1267784207980111,0.4148763020833333,0.4375,0.45138888888888884,0.31076388888888884,0.4375
PTSD_210,1,Stigma - PTSD,19,Female,consistent first,TRUE,TRUE,-0.04545129399604247,0.3309375985974559,0.10929276069324788,-0.3214989041870471,-0.10062888526880152,0.5388454861111112,0.5572916666666666,0.5902777777777778,0.4618055555555555,0.5295138888888888
PTSD_212,1,Stigma - PTSD,18,Female,consistent first,TRUE,TRUE,0.31566832681375,0.7931701340427594,0.24836121365217442,-0.1261270757883007,0.0765298171405989,0.5423719618055555,0.8177083333333334,0.40972222222222215,0.34027777777777785,0.5538194444444445
